posi_id,title,issn,old_url,new_url
POSI-J-023343,"Tetrahedron Letters",0040-4039,"http://www.elsevier.com/wps/find/journaldescription.cws_home/233/description#description","https://www.sciencedirect.com/science/journal/00404039"
POSI-J-023347,"Journal of Alloys and Compounds",0925-8388,"https://www.journals.elsevier.com/journal-of-alloys-and-compounds","https://www.sciencedirect.com/science/journal/09258388"
POSI-J-023349,"The Science of The Total Environment",0048-9697,"https://www.journals.elsevier.com/science-of-the-total-environment","https://www.sciencedirect.com/science/journal/00489697"
POSI-J-023353,"Chemical Engineering Journal",1385-8947,"https://www.journals.elsevier.com/chemical-engineering-journal","https://www.sciencedirect.com/science/journal/13858947"
POSI-J-023357,"Applied Surface Science",0169-4332,"https://www.journals.elsevier.com/applied-surface-science","https://www.sciencedirect.com/science/journal/01694332"
POSI-J-023359,"Journal of Chromatography A",0021-9673,"http://www.elsevier.com/locate/chroma","https://www.sciencedirect.com/science/journal/00219673"
POSI-J-023360,"Chemical Physics Letters",0009-2614,"http://www.journals.elsevier.com/chemical-physics-letters","https://www.sciencedirect.com/science/journal/00092614"
POSI-J-000516,"Physics Letters B",0370-2693,"https://www.journals.elsevier.com/physics-letters-b","https://www.sciencedirect.com/science/journal/03702693"
POSI-J-023362,"International Journal of Hydrogen Energy",0360-3199,"http://www.journals.elsevier.com/international-journal-of-hydrogen-energy/","https://www.sciencedirect.com/science/journal/03603199"
POSI-J-023367,"Tetrahedron",0040-4020,"http://www.journals.elsevier.com/tetrahedron/","https://www.sciencedirect.com/science/journal/00404020"
POSI-J-023368,"Ceramics International",0272-8842,"https://www.journals.elsevier.com/ceramics-international","https://www.sciencedirect.com/science/journal/02728842"
POSI-J-023374,"Electrochimica Acta",0013-4686,"http://www.elsevier.com/wps/find/journaldescription.cws_home/205/description#description","https://www.sciencedirect.com/science/journal/00134686"
POSI-J-023375,"Physics Letters A",0375-9601,"http://www.elsevier.com/wps/find/journaldescription.cws_home/505705/description","https://www.sciencedirect.com/science/journal/03759601"
POSI-J-023376,"Vacuum",0042-207X,"https://www.journals.elsevier.com/vacuum","https://www.sciencedirect.com/science/journal/0042207X"
POSI-J-023379,"International Journal of Biological Macromolecules",0141-8130,"http://www.journals.elsevier.com/international-journal-of-biological-macromolecules/","https://www.sciencedirect.com/science/journal/01418130"
POSI-J-023383,"Chemosphere",0045-6535,"http://www.elsevier.com/locate/chemosphere","https://www.sciencedirect.com/science/journal/00456535"
POSI-J-023384,"Journal of Colloid and Interface Science",0021-9797,"http://www.journals.elsevier.com/journal-of-colloid-and-interface-science/","https://www.sciencedirect.com/science/journal/00219797"
POSI-J-023385,"Journal of Cleaner Production",0959-6526,"https://www.journals.elsevier.com/journal-of-cleaner-production","https://www.sciencedirect.com/science/journal/09596526"
POSI-J-023386,"Journal of Magnetism and Magnetic Materials",0304-8853,"http://www.journals.elsevier.com/journal-of-magnetism-and-magnetic-materials/","https://www.sciencedirect.com/science/journal/03048853"
POSI-J-023388,"Construction and Building Materials",0950-0618,"https://www.journals.elsevier.com/construction-and-building-materials","https://www.sciencedirect.com/science/journal/09500618"
POSI-J-023392,"Thin Solid Films",0040-6090,"http://www.journals.elsevier.com/thin-solid-films/","https://www.sciencedirect.com/science/journal/00406090"
POSI-J-023393,"Analytica Chimica Acta",0003-2670,"http://www.elsevier.com/wps/product/cws_home/502681","https://www.sciencedirect.com/science/journal/00032670"
POSI-J-023394,"Fuel",0016-2361,"https://www.journals.elsevier.com/fuel","https://www.sciencedirect.com/science/journal/00162361"
POSI-J-023396,"Materials Science and Engineering A",0921-5093,"https://www.journals.elsevier.com/materials-science-and-engineering-a","https://www.sciencedirect.com/science/journal/09215093"
POSI-J-023401,"Journal of Organometallic Chemistry",0022-328X,"http://www.elsevier.com/locate/inca/504090","https://www.sciencedirect.com/science/journal/0022328X"
POSI-J-023403,"Solid State Communications",0038-1098,"http://www.journals.elsevier.com/solid-state-communications","https://www.sciencedirect.com/science/journal/00381098"
POSI-J-023404,"Energy",0360-5442,"http://www.journals.elsevier.com/energy","https://www.sciencedirect.com/science/journal/03605442"
POSI-J-023407,"Journal of Hazardous Materials",0304-3894,"https://www.journals.elsevier.com/journal-of-hazardous-materials","https://www.sciencedirect.com/science/journal/03043894"
POSI-J-023409,"Nuclear Instruments and Methods in Physics Research Section B Beam Interactions with Materials and Atoms",0168-583X,"https://www.journals.elsevier.com/nuclear-instruments-and-methods-in-physics-research-section-b-beam-interactions-with-materials-and-atoms","https://www.sciencedirect.com/science/journal/0168583X"
POSI-J-023410,"Materials Letters",0167-577X,"https://www.journals.elsevier.com/materials-letters","https://www.sciencedirect.com/science/journal/0167577X"
POSI-J-023413,"Polymer",0032-3861,"https://www.journals.elsevier.com/polymer","https://www.sciencedirect.com/science/journal/00323861"
POSI-J-023414,"Journal of Crystal Growth",0022-0248,"https://www.journals.elsevier.com/journal-of-crystal-growth","https://www.sciencedirect.com/science/journal/00220248"
POSI-J-023415,"Materials Today Proceedings",2214-7853,"https://www.journals.elsevier.com/materials-today-proceedings","https://www.sciencedirect.com/science/journal/22147853"
POSI-J-023416,"Journal of Power Sources",0378-7753,"http://www.elsevier.com/wps/find/journaldescription.cws_home/504093/description","https://www.sciencedirect.com/science/journal/03787753"
POSI-J-023417,"Physica B Condensed Matter",0921-4526,"https://www.journals.elsevier.com/physica-b-condensed-matter","https://www.sciencedirect.com/science/journal/09214526"
POSI-J-023419,"Optics Communications",0030-4018,"http://www.elsevier.com/wps/find/journaldescription.cws_home/505711/description","https://www.sciencedirect.com/science/journal/00304018"
POSI-J-023422,"Surface Science",0039-6028,"https://www.journals.elsevier.com/surface-science","https://www.sciencedirect.com/science/journal/00396028"
POSI-J-023423,"Nuclear Physics A",0375-9474,"https://www.sciencedirect.com/journal/nuclear-physics-a","https://www.sciencedirect.com/science/journal/03759474"
POSI-J-023425,"Sensors and Actuators B Chemical",0925-4005,"https://www.journals.elsevier.com/sensors-and-actuators-b-chemical","https://www.sciencedirect.com/science/journal/09254005"
POSI-J-023430,"Talanta",0039-9140,"http://www.elsevier.com/locate/inca/525438","https://www.sciencedirect.com/science/journal/00399140"
POSI-J-023433,"International Journal of Heat and Mass Transfer",0017-9310,"https://www.journals.elsevier.com/international-journal-of-heat-and-mass-transfer","https://www.sciencedirect.com/science/journal/00179310"
POSI-J-023435,"Journal of Mathematical Analysis and Applications",0022-247X,"https://www.journals.elsevier.com/journal-of-mathematical-analysis-and-applications","https://www.sciencedirect.com/science/journal/0022247X"
POSI-J-023436,"Bioresource Technology",0960-8524,"http://journals.elsevier.com/09608524/bioresource-technology/","https://www.sciencedirect.com/science/journal/09608524"
POSI-J-023438,"Procedia Computer Science",1877-0509,"https://www.journals.elsevier.com/procedia-computer-science","https://www.sciencedirect.com/science/journal/18770509"
POSI-J-023439,"Colloids and Surfaces A Physicochemical and Engineering Aspects",0927-7757,"http://www.journals.elsevier.com/colloids-and-surfaces-a-physicochemical-and-engineering-aspects/","https://www.sciencedirect.com/science/journal/09277757"
POSI-J-023441,"Chemical Engineering Science",0009-2509,"http://www.journals.elsevier.com/chemical-engineering-science/","https://www.sciencedirect.com/science/journal/00092509"
POSI-J-023443,"Journal of Nuclear Materials",0022-3115,"https://www.journals.elsevier.com/journal-of-nuclear-materials","https://www.sciencedirect.com/science/journal/00223115"
POSI-J-023445,"Physica A Statistical Mechanics and its Applications",0378-4371,"https://www.journals.elsevier.com/physica-a-statistical-mechanics-and-its-applications","https://www.sciencedirect.com/science/journal/03784371"
POSI-J-023447,"Applied Thermal Engineering",1359-4311,"http://www.sciencedirect.com/science/journal/13594311","https://www.sciencedirect.com/science/journal/13594311"
POSI-J-023455,"Surface and Coatings Technology",0257-8972,"https://www.journals.elsevier.com/surface-and-coatings-technology","https://www.sciencedirect.com/science/journal/02578972"
POSI-J-000546,"Nuclear Physics B",0550-3213,"https://www.journals.elsevier.com/nuclear-physics-b","https://www.sciencedirect.com/science/journal/05503213"
POSI-J-023456,"Water Research",0043-1354,"http://www.elsevier.com/wps/find/journaldescription.cws_home/309/description","https://www.sciencedirect.com/science/journal/00431354"
POSI-J-023458,"Journal of Non-Crystalline Solids",0022-3093,"https://www.journals.elsevier.com/journal-of-non-crystalline-solids","https://www.sciencedirect.com/science/journal/00223093"
POSI-J-023459,"Separation and Purification Technology",1383-5866,"https://www.journals.elsevier.com/separation-and-purification-technology","https://www.sciencedirect.com/science/journal/13835866"
POSI-J-023462,"Analytical Biochemistry",0003-2697,"http://www.journals.elsevier.com/analytical-biochemistry-methods-in-the-biological-sciences/","https://www.sciencedirect.com/science/journal/00032697"
POSI-J-023463,"Microelectronics Reliability",0026-2714,"https://www.journals.elsevier.com/microelectronics-reliability","https://www.sciencedirect.com/science/journal/00262714"
POSI-J-023466,"Carbon",0008-6223,"http://www.elsevier.com/wps/find/journaldescription.cws_home/258/description#description","https://www.sciencedirect.com/science/journal/00086223"
POSI-J-023468,"Journal of Environmental Management",0301-4797,"https://www.journals.elsevier.com/journal-of-environmental-management","https://www.sciencedirect.com/science/journal/03014797"
POSI-J-023470,"Journal of Hydrology",0022-1694,"http://www.elsevier.com/wps/find/journaldescription.cws_home/503343/description","https://www.sciencedirect.com/science/journal/00221694"
POSI-J-023471,"Journal of Sound and Vibration",0022-460X,"http://www.sciencedirect.com/science/journal/0022460x","https://www.sciencedirect.com/science/journal/0022460X"
POSI-J-023472,"IFAC-PapersOnLine",2405-8963,"https://www.journals.elsevier.com/ifac-papersonline","https://www.sciencedirect.com/science/journal/24058963"
POSI-J-023475,"Environmental Pollution",0269-7491,"https://www.journals.elsevier.com/environmental-pollution","https://www.sciencedirect.com/science/journal/02697491"
