posi_id,title,site_evidence_coverage_percent,pages_fetched,pages_ok
POSI-J-000001,"Global Review of Humanities, Arts, and Society",100,30,8
POSI-J-000002,"AI & Future Society",100,30,5
POSI-J-000003,"Journal of Law, Psychology, and Communication Studies",100,30,6
POSI-J-000004,"Health Nexus: Interdisciplinary Medical Research Journal",100,30,8
POSI-J-000005,"PoliEcoM Administration Review",100,30,9
POSI-J-000006,"Journal of Engineering Systems and Applications",100,30,6
POSI-J-000007,"Three Teachings Studies: Confucianism, Daoism, and Buddhism",100,30,6
POSI-J-000008,"Rural Governance and Green Development",100,30,6
POSI-J-000009,"Resonance: Journal of Global Music Studies",100,30,6
POSI-J-000010,"Climate Sustainability & Global Systems",100,30,10
POSI-J-000011,"Journal of Social Cognition and Communication",100,30,9
POSI-J-000012,"Silence",100,30,13
POSI-J-000013,"Journal of Modern Social Sciences",100,30,7
POSI-J-000014,"Journal of Current Social Issues Studies",100,30,5
POSI-J-000015,"Journal of Contemporary Art Criticism",100,30,5
POSI-J-000016,"人文学刊",41.03,27,3
POSI-J-000017,"教育与教法",53.85,29,9
POSI-J-000018,"Journal of Asia Social Science Practice",48.72,30,3
POSI-J-000019,"中国文学学刊",15.38,29,3
POSI-J-000020,"艺术与设计前沿",20.51,29,3
POSI-J-000021,"人工智能",10.26,28,4
POSI-J-000022,"医学与护理",41.03,29,5
POSI-J-000023,"新闻与传播",5.13,30,3
POSI-J-000024,"中国法学学刊",10.26,28,4
POSI-J-000025,"Engineering Frontiers",43.59,30,8
POSI-J-000026,"当代设计研究",28.21,30,7
POSI-J-000027,"Research on Architecture and Environment",17.95,30,3
POSI-J-000028,"Journal of the European Academy Open University",100,30,10
POSI-J-000029,"The Journal of Interactive Social Sciences",100,30,12
POSI-J-000030,"Digital Intelligence Frontiers",100,24,1
POSI-J-023332,"Contemporary Review of Political Thought",100,30,9
