legacy_id,posi_id,representative_title,matched_via
j-grhas,POSI-J-000001,"Global Review of Humanities, Arts, and Society","issn_l:3052-539X"
j-afs,POSI-J-000002,"AI & Future Society","issn_l:3053-4011"
j-jlpcs,POSI-J-000003,"Journal of Law, Psychology, and Communication Studies","issn_l:3052-9654"
j-hnex,POSI-J-000004,"Health Nexus: Interdisciplinary Medical Research Journal","issn_l:3053-7037"
j-pear,POSI-J-000005,"PoliEcoM Administration Review","issn_l:3053-3597"
j-jesa,POSI-J-000006,"Journal of Engineering Systems and Applications","issn_l:3053-478X"
j-tts,POSI-J-000007,"Three Teachings Studies: Confucianism, Daoism, and Buddhism","issn_l:3053-6553"
j-rggd,POSI-J-000008,"Rural Governance and Green Development","issn_l:3053-7282"
j-rjgms,POSI-J-000009,"Resonance: Journal of Global Music Studies","issn_l:3053-4410"
j-csgs,POSI-J-000010,"Climate Sustainability & Global Systems","issn_l:3054-9663"
j-jscc,POSI-J-000011,"Journal of Social Cognition and Communication","issn_l:3054-6958"
j-silence,POSI-J-000012,"Silence","issn_l:3054-4386"
j-jmss,POSI-J-000013,"Journal of Modern Social Sciences","issn_l:3078-4433"
j-jcsis,POSI-J-000014,"Journal of Current Social Issues Studies","issn_l:3078-5316"
j-jcac,POSI-J-000015,"Journal of Contemporary Art Criticism","issn_l:3079-7470"
j-rwxk,POSI-J-000016,"人文学刊","issn_l:3104-5014"
j-jyyjx,POSI-J-000017,"教育与教法","issn_l:3080-8839"
j-jassp,POSI-J-000018,"Journal of Asia Social Science Practice","issn_l:3079-7659"
j-zgwxxk,POSI-J-000019,"中国文学学刊","issn_l:3106-3667"
j-yishu,POSI-J-000020,"艺术与设计前沿","issn_l:3107-0183"
j-shr-ai,POSI-J-000021,"人工智能","issn_l:3106-3691"
j-smn,POSI-J-000022,"医学与护理","issn_l:3106-3659"
j-xw,POSI-J-000023,"新闻与传播","issn_l:3106-9983"
j-zgfx,POSI-J-000024,"中国法学学刊","issn_l:3107-1694"
j-cmas,POSI-J-000025,"Engineering Frontiers","issn_l:3105-4129"
j-cds,POSI-J-000026,"当代设计研究","issn_l:3105-3807"
j-rae,POSI-J-000027,"Research on Architecture and Environment","issn_l:3105-319X"
j-eaou,POSI-J-000028,"Journal of the European Academy Open University","issn_l:3105-5850"
j-tjiss,POSI-J-000029,"The Journal of Interactive Social Sciences","issn_l:3030-5276"
j-dif-rfp,POSI-J-000030,"Digital Intelligence Frontiers","issn_pair:3135-0011"
j-cropt,POSI-J-023332,"Contemporary Review of Political Thought","issn_pair:3056-0977"
