posi_id,legacy_id,title,issn_online,openalex_source_id,article_count,minted_or_reused
POSI-J-024206,j-bench-aace-clinical-case-reports-1001,"AACE Clinical Case Reports",2376-0605,S2764745361,921,minted
POSI-J-024207,j-bench-aace-endocrinology-and-diabetes-1002,"AACE Endocrinology and Diabetes",3050-9157,S5407047512,278,minted
POSI-J-024208,j-bench-abiotech-1003,"aBIOTECH",2662-1738,S4210188184,307,minted
POSI-J-006634,j-bench-academic-pathology-1004,"Academic Pathology",2374-2895,S4210212924,582,reused
POSI-J-024209,j-bench-academic-pediatrics-1005,"Academic Pediatrics",1876-2859,S141855577,4522,minted
POSI-J-024210,j-bench-academic-radiology-1006,"Academic Radiology",1076-6332,S182038535,12238,minted
POSI-J-024211,j-bench-academy-of-management-inside-organizations-1007,"Academy of Management Inside Organizations",3117-9878,,0,minted
POSI-J-024212,j-bench-academy-of-management-organizations-and-their-environments-1008,"Academy of Management Organizations and Their Environments",3117-9886,,0,minted
POSI-J-024213,j-bench-accident-analysis-prevention-1009,"Accident Analysis & Prevention",0001-4575,S188336720,10085,minted
POSI-J-024214,j-bench-accounting-open-1010,"Accounting Open",3050-5461,S5407052172,10,minted
POSI-J-024215,j-bench-accounting-organizations-and-society-1011,"Accounting, Organizations and Society",0361-3682,S198892436,2224,minted
POSI-J-024216,j-bench-accounting-theory-and-practice-1012,"Accounting Theory and Practice",2949-9453,S5407036929,8,minted
POSI-J-024217,j-bench-acta-adamantum-1013,"Acta Adamantum",2773-224X,,0,minted
POSI-J-024218,j-bench-acta-astronautica-1014,"Acta Astronautica",0094-5765,S179591353,15195,minted
POSI-J-024219,j-bench-acta-biomaterialia-1015,"Acta Biomaterialia",1742-7061,S173145877,11204,minted
POSI-J-024220,j-bench-acta-colombiana-de-cuidado-intensivo-1016,"Acta Colombiana de Cuidado Intensivo",0122-7262,S2898115637,622,minted
POSI-J-024221,j-bench-acta-histochemica-1017,"Acta Histochemica",0065-1281,S4210188353,4491,minted
POSI-J-024222,j-bench-acta-oecologica-1018,"Acta Oecologica",1146-609X,S127446044,2538,minted
POSI-J-024223,j-bench-acta-otorrinolaringologica-english-edition-1019,"Acta Otorrinolaringologica (English Edition)",2173-5735,S4210169558,1583,minted
POSI-J-024224,j-bench-acta-otorrinolaringol-gica-espa-ola-1020,"Acta Otorrinolaringológica Española",0001-6519,S2755543480,2240,minted
POSI-J-001364,j-bench-acta-pharmaceutica-sinica-b-1021,"Acta Pharmaceutica Sinica B",2211-3835,S2736993989,3221,reused
POSI-J-024225,j-bench-acta-physico-chimica-sinica-1022,"Acta Physico-Chimica Sinica",1000-6818,S138757394,11752,minted
POSI-J-000706,j-bench-acta-psychologica-1023,"Acta Psychologica",0001-6918,S180067919,10205,reused
POSI-J-024226,j-bench-acta-psychologica-reports-1024,"Acta Psychologica Reports",3117-9894,,0,minted
POSI-J-024227,j-bench-acta-tropica-1025,"Acta Tropica",0001-706X,S190456265,8299,minted
POSI-J-024228,j-bench-actas-urol-gicas-espa-olas-1026,"Actas Urológicas Españolas",0210-4806,S38879697,5589,minted
POSI-J-024229,j-bench-actas-urol-gicas-espa-olas-english-edition-1027,"Actas Urológicas Españolas (English Edition)",2173-5786,S4210176551,1919,minted
POSI-J-024230,j-bench-actualit-s-pharmaceutiques-1028,"Actualités Pharmaceutiques",0515-3700,S2898131220,5124,minted
POSI-J-024231,j-bench-ad-hoc-networks-1029,"Ad Hoc Networks",1570-8705,S4210177528,3745,minted
POSI-J-011875,j-bench-addiction-neuroscience-1030,"Addiction Neuroscience",2772-3925,S4210209607,253,reused
POSI-J-024232,j-bench-addictive-behaviors-1031,"Addictive Behaviors",0306-4603,S186215666,8609,minted
POSI-J-005301,j-bench-addictive-behaviors-reports-1032,"Addictive Behaviors Reports",2352-8532,S2898531107,724,reused
POSI-J-024233,j-bench-additive-manufacturing-1033,"Additive Manufacturing",2214-8604,S2764842179,5150,minted
POSI-J-024234,j-bench-additive-manufacturing-frontiers-1034,"Additive Manufacturing Frontiers",2950-4317,S5407037061,235,minted
POSI-J-009032,j-bench-additive-manufacturing-letters-1035,"Additive Manufacturing Letters",2772-3690,S4210237284,389,reused
POSI-J-013221,j-bench-advanced-agrochem-1036,"Advanced AgroChem",2773-2371,S4387282482,224,reused
POSI-J-024235,j-bench-advanced-bionics-1037,"Advanced Bionics",2950-3876,S4404673999,29,minted
POSI-J-024236,j-bench-advanced-design-research-1038,"Advanced Design Research",2949-7825,S4387290417,50,minted
POSI-J-024237,j-bench-advanced-drug-delivery-reviews-1039,"Advanced Drug Delivery Reviews",0169-409X,S114437232,5414,minted
POSI-J-024238,j-bench-advanced-engineering-informatics-1040,"Advanced Engineering Informatics",1474-0346,S112141509,4696,minted
POSI-J-018196,j-bench-advanced-exercise-and-health-science-1041,"Advanced Exercise and Health Science",2950-273X,S4390963360,82,reused
POSI-J-000504,j-bench-advanced-industrial-and-engineering-polymer-research-1042,"Advanced Industrial and Engineering Polymer Research",2542-5048,S4210184591,304,reused
POSI-J-024239,j-bench-advanced-interventional-materials-1043,"Advanced Interventional Materials",3051-1577,S5407053264,19,minted
POSI-J-024240,j-bench-advanced-light-materials-1044,"Advanced Light Materials",3117-3144,S7407055717,9,minted
POSI-J-013424,j-bench-advanced-membranes-1045,"Advanced Membranes",2772-8234,S4210225683,200,reused
POSI-J-024241,j-bench-advanced-nanocomposites-1046,"Advanced Nanocomposites",2949-9445,S4387292287,68,minted
POSI-J-024242,j-bench-advanced-orthopaedics-1047,"Advanced Orthopaedics",3050-7170,S5407047465,21,minted
POSI-J-011335,j-bench-advanced-powder-materials-1048,"Advanced Powder Materials",2772-834X,S4210231862,279,reused
POSI-J-024243,j-bench-advanced-powder-technology-1049,"Advanced Powder Technology",0921-8831,S9304834,6089,minted
POSI-J-024244,j-bench-advanced-scientific-instruments-1050,"Advanced Scientific Instruments",3117-3748,S5407055957,19,minted
POSI-J-016198,j-bench-advanced-sensor-and-energy-materials-1051,"Advanced Sensor and Energy Materials",2773-045X,S4220651851,132,reused
POSI-J-024245,j-bench-advances-in-accounting-1052,"Advances in Accounting",0882-6110,S27001385,817,minted
POSI-J-024246,j-bench-advances-in-anesthesia-1053,"Advances in Anesthesia",0737-6146,S110628831,339,minted
POSI-J-024247,j-bench-advances-in-animal-biosciences-1054,"Advances in Animal Biosciences",2040-4700,S2764561923,919,minted
POSI-J-011176,j-bench-advances-in-applied-energy-1055,"Advances in Applied Energy",2666-7924,S4210186815,288,reused
POSI-J-024248,j-bench-advances-in-applied-mathematics-1056,"Advances in Applied Mathematics",0196-8858,S164906323,2838,minted
POSI-J-019453,j-bench-advances-in-archaeomaterials-1057,"Advances in Archaeomaterials",2667-1360,S4210240248,44,reused
POSI-J-011939,j-bench-advances-in-bamboo-science-1058,"Advances in Bamboo Science",2773-1391,S4220651773,254,reused
POSI-J-024249,j-bench-advances-in-biological-regulation-1059,"Advances in Biological Regulation",2212-4926,S2764887616,648,minted
POSI-J-016184,j-bench-advances-in-biomarker-sciences-and-technology-1060,"Advances in Biomarker Sciences and Technology",2543-1064,S4210213593,132,reused
POSI-J-024250,j-bench-advances-in-business-and-management-research-1061,"Advances in Business and Management Research",3051-0511,S7407053801,5,minted
POSI-J-013923,j-bench-advances-in-cancer-biology-metastasis-1062,"Advances in Cancer Biology - Metastasis",2667-3940,S4210215862,194,reused
POSI-J-024251,j-bench-advances-in-chronic-kidney-disease-1063,"Advances in Chronic Kidney Disease",1548-5595,S121181480,1731,minted
POSI-J-003349,j-bench-advances-in-climate-change-research-1064,"Advances in Climate Change Research",1674-9278,S2764744304,1191,reused
POSI-J-024252,j-bench-advances-in-clinical-radiology-1065,"Advances in Clinical Radiology",2589-8701,S4210228184,178,minted
POSI-J-024253,j-bench-advances-in-colloid-and-interface-science-1066,"Advances in Colloid and Interface Science",0001-8686,S28247071,4252,minted
POSI-J-024254,j-bench-advances-in-cosmetic-surgery-1067,"Advances in Cosmetic Surgery",2542-4327,S2898431607,211,minted
POSI-J-024255,j-bench-advances-in-engineering-software-1068,"Advances in Engineering Software",0965-9978,S16540516,4303,minted
POSI-J-024256,j-bench-advances-in-family-practice-nursing-1069,"Advances in Family Practice Nursing",2589-420X,S4210240039,190,minted
POSI-J-014741,j-bench-advances-in-industrial-and-manufacturing-engineering-1070,"Advances in Industrial and Manufacturing Engineering",2666-9129,S4210227429,163,reused
POSI-J-024257,j-bench-advances-in-integrative-medicine-1071,"Advances in Integrative Medicine",2212-9588,S2764760482,1174,minted
POSI-J-024258,j-bench-advances-in-kidney-disease-and-health-1072,"Advances in Kidney Disease and Health",2949-8139,S4387285771,273,minted
POSI-J-024259,j-bench-advances-in-life-course-research-1073,"Advances in Life Course Research",1569-4909,S4394735480,763,minted
POSI-J-024260,j-bench-advances-in-mathematics-1074,"Advances in Mathematics",0001-8708,S122441808,12176,minted
POSI-J-024261,j-bench-advances-in-medical-sciences-1075,"Advances in Medical Sciences",1896-1126,S57025993,1063,minted
POSI-J-024262,j-bench-advances-in-molecular-pathology-1076,"Advances in Molecular Pathology",2589-4080,S4210177865,187,minted
POSI-J-024263,j-bench-advances-in-nutrition-1077,"Advances in Nutrition",2161-8313,S2491932416,2432,minted
POSI-J-024264,j-bench-advances-in-oncology-1078,"Advances in Oncology",2666-853X,S4210236939,187,minted
POSI-J-024265,j-bench-advances-in-ophthalmology-and-optometry-1079,"Advances in Ophthalmology and Optometry",2452-1760,S2898386384,341,minted
POSI-J-012734,j-bench-advances-in-ophthalmology-practice-and-research-1080,"Advances in Ophthalmology Practice and Research",2667-3762,S4210200596,221,reused
POSI-J-005859,j-bench-advances-in-oral-and-maxillofacial-surgery-1081,"Advances in Oral and Maxillofacial Surgery",2667-1476,S4210224927,657,reused
POSI-J-024266,j-bench-advances-in-patient-reported-outcomes-1082,"Advances in Patient-Reported Outcomes",3050-6964,S5407047456,289,minted
POSI-J-024267,j-bench-advances-in-pediatrics-1083,"Advances in Pediatrics",0065-3101,S158688538,1427,minted
POSI-J-024268,j-bench-advances-in-psychiatry-and-behavioral-health-1084,"Advances in Psychiatry and Behavioral Health",2667-3827,S4210193605,173,minted
POSI-J-002104,j-bench-advances-in-radiation-oncology-1085,"Advances in Radiation Oncology",2452-1094,S2765008485,1889,reused
POSI-J-014926,j-bench-advances-in-redox-research-1086,"Advances in Redox Research",2667-1379,S4210180340,173,reused
POSI-J-012571,j-bench-advances-in-sample-preparation-1087,"Advances in Sample Preparation",2772-5820,S4210235378,231,reused
POSI-J-024269,j-bench-advances-in-small-animal-care-1088,"Advances in Small Animal Care",2666-450X,S4210203215,131,minted
POSI-J-024270,j-bench-advances-in-surgery-1089,"Advances in Surgery",0065-3411,S170839452,510,minted
