issn,title
3117-9878,"Academy of Management Inside Organizations"
3117-9886,"Academy of Management Organizations and Their Environments"
2773-224X,"Acta Adamantum"
3117-9894,"Acta Psychologica Reports"
3117-5031,"Applied Biomolecules: Bioactive Materials"
3050-9548,"Asia Nexus Journal of Management"
2949-9461,"Cell Ecosystem"
3051-2654,"China Journal of Agricultural Economics & Development"
3117-9061,"Cleaner Cities"
3117-6178,"Coacervates"
3051-3111,"Earth System"
3117-5929,"Environmental Management: Emerging Contaminants"
3117-6496,"Environmental Management: Smart Solutions"
3117-8200,"Food Medicine Health"
3117-6526,"Innovations in Industrial Crops and Processing"
3117-969X,"Intelligent Translational Medicine"
3117-9010,"Journal of Gender-Specific Imaging"
3117-941X,"Journal of Hazardous Materials: Air"
2950-175X,"Journal of Holistic Integrative Pharmacy"
3051-3219,"Journal of Polar Science and Engineering"
3050-6093,"Journal of Vascular and Endovascular Research"
3050-5054,"The Lancet Regional Health - Eastern Mediterranean"
3117-8197,"Low-altitude Transportation"
3117-8189,"Marine Geotechnics"
3117-9282,"Medicine Discovery"
3117-8235,"Meta Plants"
3117-9649,"Metal Science"
3117-8731,"Neuron Communications"
3117-583X,"Pediatric Gastroenterology & Hepatology Advances"
3117-9770,"Pharma-X"
3117-762X,"Power Grid Engineering Science"
3050-6557,"Precision Measurement"
3104-8498,"Progress in Optoelectronics and Communications"
3117-9045,"Quantum Computing and Engineering Applications"
3117-8944,"Research in Inclusive Education"
3117-7018,"Safety Science Reports"
3117-5260,"Smart Civil Infrastructures"
3117-9002,"Software Engineering Nexus"
3117-4132,"The Swine Journal"
