posi_id,legacy_id,title,issn_online,openalex_source_id,article_count
POSI-J-026386,j-bench-advanced-optical-technologies-4107,"Advanced Optical Technologies",2192-8584,S2764547716,662
POSI-J-019732,j-bench-frontiers-in-acoustics-4108,"Frontiers in Acoustics",2813-8082,S4387292808,37
POSI-J-019599,j-bench-frontiers-in-adolescent-medicine-4109,"Frontiers in Adolescent Medicine",2813-8589,S4389158174,45
POSI-J-019419,j-bench-frontiers-in-aerospace-engineering-4110,"Frontiers in Aerospace Engineering",2813-2831,S4387281039,45
POSI-J-004837,j-bench-frontiers-in-aging-4111,"Frontiers in Aging",2673-6217,S4210191507,833
POSI-J-000098,j-bench-frontiers-in-aging-neuroscience-4112,"Frontiers in Aging Neuroscience",1663-4365,S118428158,8333
POSI-J-000149,j-bench-frontiers-in-agronomy-4113,"Frontiers in Agronomy",2673-3218,S4210220257,990
POSI-J-000131,j-bench-frontiers-in-allergy-4114,"Frontiers in Allergy",2673-6101,S4210191602,953
POSI-J-017366,j-bench-frontiers-in-amphibian-and-reptile-science-4115,"Frontiers in Amphibian and Reptile Science",2813-6780,S4387288503,100
POSI-J-016355,j-bench-frontiers-in-analytical-science-4116,"Frontiers in Analytical Science",2673-9283,S4210225546,124
POSI-J-016990,j-bench-frontiers-in-anesthesiology-4117,"Frontiers in Anesthesiology",2813-480X,S4387285056,121
POSI-J-004201,j-bench-frontiers-in-animal-science-4118,"Frontiers in Animal Science",2673-6225,S4210230110,949
POSI-J-020168,j-bench-frontiers-in-antennas-and-propagation-4119,"Frontiers in Antennas and Propagation",2813-4680,S4387284856,27
POSI-J-016503,j-bench-frontiers-in-antibiotics-4120,"Frontiers in Antibiotics",2813-2467,S4387280130,129
POSI-J-000113,j-bench-frontiers-in-applied-mathematics-and-statistics-4121,"Frontiers in Applied Mathematics and Statistics",2297-4687,S2597085352,967
POSI-J-017100,j-bench-frontiers-in-aquaculture-4122,"Frontiers in Aquaculture",2813-5334,S4387285940,128
POSI-J-019936,j-bench-frontiers-in-arachnid-science-4123,"Frontiers in Arachnid Science",2813-5083,S4387285354,33
POSI-J-000151,j-bench-frontiers-in-artificial-intelligence-4124,"Frontiers in Artificial Intelligence",2624-8212,S4210197006,2461
POSI-J-000176,j-bench-frontiers-in-astronomy-and-space-sciences-4125,"Frontiers in Astronomy and Space Sciences",2296-987X,S2595849600,1965
POSI-J-000150,j-bench-frontiers-in-audiology-and-otology-4126,"Frontiers in Audiology and Otology",2813-6055,S4387287097,143
POSI-J-018766,j-bench-frontiers-in-bacteriology-4127,"Frontiers in Bacteriology",2813-6144,S4387287361,75
POSI-J-019661,j-bench-frontiers-in-batteries-and-electrochemistry-4128,"Frontiers in Batteries and Electrochemistry",2813-4974,S4387285205,45
