title,publisher,legacy_ids,candidate_entities,verdict,reason,issn_ls
"journal of arthropod-borne diseases","tehran university of medical sciences","j-disc-journal-of-arthropod-bor;j-disc-issn-1735-7179","CAND-000450;CAND-023101",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1735-7179)","CAND-000450:1735-7179|CAND-023101:1735-7179"
"archives of gynecology and obstetrics","springer science+business media","j-disc-issn-0932-0067;j-disc-issn-0003-9128","CAND-000562;CAND-022884",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0003-9128)","CAND-000562:0003-9128|CAND-022884:0003-9128"
"genome biology","biomed central","j-disc-issn-1474-7596;j-disc-issn-1465-6906","CAND-000874;CAND-022888",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1465-6906)","CAND-000874:1465-6906|CAND-022888:1465-6906"
"asian journal of medical sciences","progressive sustainable developers nepal","j-disc-issn-2091-0576;j-disc-issn-2467-9100","CAND-001061;CAND-021127",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2091-0576)","CAND-001061:2091-0576|CAND-021127:2091-0576"
"eurasip journal on advances in signal processing","springer science+business media","j-disc-issn-1687-6172;j-disc-issn-1110-8657","CAND-001075;CAND-022892",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1110-8657)","CAND-001075:1110-8657|CAND-022892:1110-8657"
"brazilian oral research","brazilian society of dental research","j-disc-issn-1806-8324;j-disc-issn-1517-7491","CAND-001249;CAND-022897",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1517-7491)","CAND-001249:1517-7491|CAND-022897:1517-7491"
"open medicine","de gruyter open","j-disc-issn-2391-5463;j-disc-issn-1895-1058","CAND-001497;CAND-022908",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1895-1058)","CAND-001497:1895-1058|CAND-022908:1895-1058"
"clinical and experimental hypertension","informa","j-disc-issn-1064-1963;j-disc-issn-0148-3927","CAND-001520;CAND-022891",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0148-3927)","CAND-001520:0148-3927|CAND-022891:0148-3927"
"american journal of islam and society","international institute of islamic thought","j-disc-issn-2690-3733;j-disc-issn-0887-7653","CAND-001556;CAND-022905",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0887-7653)","CAND-001556:0887-7653|CAND-022905:0887-7653"
"hydrology research","iwa publishing","j-disc-issn-1998-9563;j-disc-issn-0029-1277","CAND-001689;CAND-022914",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0029-1277)","CAND-001689:0029-1277|CAND-022914:0029-1277"
"open life sciences","de gruyter open","j-disc-issn-2391-5412;j-disc-issn-1895-104X","CAND-001749;CAND-022915",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1895-104X)","CAND-001749:1895-104X|CAND-022915:1895-104X"
"open mathematics","de gruyter open","j-disc-issn-2391-5455;j-disc-issn-1644-3616","CAND-001763;CAND-022913",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1644-3616)","CAND-001763:1644-3616|CAND-022913:1644-3616"
"the anatolian journal of cardiology","kare publishing","j-disc-issn-2149-2263;j-disc-issn-1302-8723","CAND-001804;CAND-022900",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1302-8723)","CAND-001804:1302-8723|CAND-022900:1302-8723"
"comptes rendus mécanique","elsevier bv","j-disc-issn-1873-7234;j-disc-issn-1631-0721","CAND-001874;CAND-020176",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1873-7234)","CAND-001874:1873-7234|CAND-020176:1873-7234"
"international journal of technology","university of indonesia","j-disc-issn-2087-2100;j-disc-issn-2086-9614","CAND-001999;CAND-020937",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2087-2100)","CAND-001999:2087-2100|CAND-020937:2087-2100"
"communications - scientific letters of the university of zilina","university of zulia","j-disc-issn-2585-7878;j-disc-issn-1335-4205","CAND-002014;CAND-020975",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1335-4205)","CAND-002014:1335-4205|CAND-020975:1335-4205"
"communication & society","university of navarre","j-disc-issn-2386-7876;j-disc-issn-0214-0039","CAND-002210;CAND-022910",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0214-0039)","CAND-002210:0214-0039|CAND-022910:0214-0039"
"american journal of alzheimer s disease & other dementias®","sage publishing","j-disc-issn-1533-3175;j-disc-issn-0888-4897","CAND-002244;CAND-022911",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0888-4897)","CAND-002244:0888-4897|CAND-022911:0888-4897"
"juntendo medical journal","the juntendo medical society","j-disc-issn-2187-9737;j-disc-issn-2759-7504","CAND-002348;CAND-022373",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0022-6769)","CAND-002348:0022-6769|CAND-022373:0022-6769"
"nordic journal of nursing research","sage publishing","j-disc-issn-2057-1585;j-disc-issn-0107-4083","CAND-002359;CAND-022928",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0107-4083)","CAND-002359:0107-4083|CAND-022928:0107-4083"
"open geosciences","de gruyter open","j-disc-issn-2391-5447;j-disc-issn-1896-1517","CAND-002650;CAND-022935",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1896-1517)","CAND-002650:1896-1517|CAND-022935:1896-1517"
"revista univap","university do vale do paraíba","j-disc-issn-2237-1753;j-disc-issn-1517-3275","CAND-002774;CAND-020944",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1517-3275)","CAND-002774:1517-3275|CAND-020944:1517-3275"
"online learning","online learning consortium","j-disc-issn-2472-5730;j-disc-issn-1092-8235","CAND-002825;CAND-022939",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1092-8235)","CAND-002825:1092-8235|CAND-022939:1092-8235"
"technological and economic development of economy","vilnius gediminas technical university","j-disc-issn-2029-4913;j-disc-issn-1392-8619","CAND-002855;CAND-022942",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1392-8619)","CAND-002855:1392-8619|CAND-022942:1392-8619"
"revista de estudios e investigación en psicología y educación","university of a coruña","j-disc-issn-2386-7418;j-disc-issn-1138-1663","CAND-002903;CAND-022944",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1138-1663)","CAND-002903:1138-1663|CAND-022944:1138-1663"
"open engineering","de gruyter","j-disc-issn-2391-5439;j-disc-issn-2081-9927","CAND-002991;CAND-022945",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (2081-9927)","CAND-002991:2081-9927|CAND-022945:2081-9927"
"korean journal of medical education","korean society of medical education","j-disc-issn-2005-727X;j-disc-issn-1225-8067","CAND-003074;CAND-022947",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1225-8067)","CAND-003074:1225-8067|CAND-022947:1225-8067"
"public health genomics","karger publishers","j-disc-issn-1662-4246;j-disc-issn-1422-2795","CAND-003132;CAND-022946",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1422-2795)","CAND-003132:1422-2795|CAND-022946:1422-2795"
"vavilov journal of genetics and breeding","institute of cytology and genetics","j-disc-issn-2500-0462;j-disc-issn-1814-554X","CAND-003184;CAND-022933",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (1814-554X)","CAND-003184:1814-554X|CAND-022933:1814-554X"
"cadernos brasileiros de terapia ocupacional","universidade federal de são carlos","j-disc-issn-2526-8910;j-disc-issn-0104-4931","CAND-003224;CAND-022929",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0104-4931)","CAND-003224:0104-4931|CAND-022929:0104-4931"
"renewable agriculture and food systems","cambridge university press","j-disc-issn-1742-1705;j-disc-issn-0889-1893","CAND-003441;CAND-022919",confirmed_same,"all candidate entities resolve to the same OpenAlex issn_l (0889-1893)","CAND-003441:0889-1893|CAND-022919:0889-1893"
