identity_key,primary_candidate,merged_away,legacy_ids,titles
"issn_l:1735-9007",CAND-000256,"CAND-023121","j-disc-medical-laboratory-journ;j-disc-issn-1735-9007","Medical Laboratory Journal"
"issn_l:2055-1045",CAND-000804,"CAND-005042","j-disc-issn-2662-9992;j-disc-issn-2055-1045","Humanities and Social Sciences Communications | Palgrave Communications"
"issn_l:0873-2159",CAND-001165,"CAND-022451","j-disc-issn-0873-2159;j-disc-issn-2173-5115","Revista Portuguesa de Pneumologia | Revista Portuguesa de Pneumologia (English Edition)"
"issn_l:2314-7091",CAND-001258,"CAND-005414","j-disc-issn-2682-3950;j-disc-issn-2314-7091","مجلة أسيوط لعلوم وفنون التربية الرياضية | Assiut Journal of Sport Science and Arts /Assiut Journal of Sport Science and Arts"
"issn_l:1738-1061",CAND-001280,"CAND-003428","j-disc-issn-1738-1061;j-disc-issn-2713-4148","Korean Journal of Pediatrics | Clinical and Experimental Pediatrics"
"issn_l:2077-1770",CAND-001546,"CAND-019963","j-disc-issn-2077-1770;j-disc-issn-3033-5981","Sovremennye issledovaniya sotsialnykh problem"
"issn_l:1471-2296",CAND-001577,"CAND-002183","j-disc-issn-1471-2296;j-disc-issn-2731-4553","BMC Family Practice | BMC Primary Care"
"issn_l:1180-2332",CAND-001614,"CAND-020360","j-disc-issn-1712-9532;j-disc-issn-1180-2332","Canadian Journal of Infectious Diseases and Medical Microbiology | Canadian Journal of Infectious Diseases"
"issn_l:0482-5004",CAND-001735,"CAND-006717","j-disc-issn-0482-5004;j-disc-issn-2523-3106","Revista Brasileira de Reumatologia | Advances in Rheumatology"
"issn_l:1390-5473",CAND-002173,"CAND-021675","j-disc-issn-1390-5473;j-disc-issn-1996-2452","Podium"
"issn_l:2525-7323",CAND-002902,"CAND-021068","j-disc-issn-2525-7323;j-disc-issn-2525-5010","Jornal de Assistência Farmacêutica e Farmacoeconomia"
"issn_l:0552-9360",CAND-003021,"CAND-020895","j-disc-issn-2753-7269;j-disc-issn-0552-9360","Journal of the Palaeontological Society of India"
"issn_l:0921-8912",CAND-003038,"CAND-020961","j-disc-issn-2210-7177;j-disc-issn-0921-8912","Analytical Cellular Pathology | Analytical cellular pathology"
"issn_l:1117-1936",CAND-003180,"CAND-013077","j-disc-issn-1117-1936;j-disc-issn-2468-6875","Nigerian Postgraduate Medical Journal"
"issn_l:0016-7169",CAND-003199,"CAND-005079","j-disc-issn-2954-436X;j-disc-issn-0016-7169","Geofísica Internacional"
"issn_l:1680-6433",CAND-003208,"CAND-020832","j-disc-issn-2476-3772;j-disc-issn-1680-6433","International Journal of Reproductive BioMedicine (IJRM) | Iranian journal of reproductive medicine."
"issn_l:2153-3539",CAND-003276,"CAND-020636","j-disc-issn-2153-3539;j-disc-issn-2229-5089","Journal of Pathology Informatics | Journal of pathology informatics"
"issn_l:2078-9181",CAND-003471,"CAND-009870","j-disc-issn-2078-9181;j-disc-issn-2713-3192","SPIIRAS Proceedings | Informatics and Automation"
"issn_l:1300-5804",CAND-003639,"CAND-020195;CAND-022958","j-disc-issn-2980-1478;j-disc-issn-2149-3057;j-disc-issn-1300-5804","Urology Research and Practice | Turkish journal of urology"
"issn_l:1000-467X",CAND-003768,"CAND-004096","j-disc-issn-2523-3548;j-disc-issn-1000-467X","Cancer Communications | Chinese Journal of Cancer"
"issn_l:2148-4902",CAND-003795,"CAND-020411","j-disc-issn-2148-4902;j-disc-issn-2536-4553","Northern Clinics of Istanbul | İstanbul kuzey klinikleri - northern clinics of istanbul"
"issn_l:0187-8336",CAND-003911,"CAND-007349","j-disc-issn-2007-2422;j-disc-issn-0187-8336","Tecnología y Ciencias del Agua | IMTA-TC"
