title,publisher,legacy_ids,candidate_entities,rescoring
journal of arthropod-borne diseases,tehran university of medical sciences,j-disc-journal-of-arthropod-bor;j-disc-issn-1735-7179,CAND-000450;CAND-023101,openalex_confirms_same
archives of gynecology and obstetrics,springer science+business media,j-disc-issn-0932-0067;j-disc-issn-0003-9128,CAND-000562;CAND-022884,openalex_confirms_same
genome biology,biomed central,j-disc-issn-1474-7596;j-disc-issn-1465-6906,CAND-000874;CAND-022888,openalex_confirms_same
asian journal of medical sciences,progressive sustainable developers nepal,j-disc-issn-2091-0576;j-disc-issn-2467-9100,CAND-001061;CAND-021127,openalex_confirms_same
eurasip journal on advances in signal processing,springer science+business media,j-disc-issn-1687-6172;j-disc-issn-1110-8657,CAND-001075;CAND-022892,openalex_confirms_same
brazilian oral research,brazilian society of dental research,j-disc-issn-1806-8324;j-disc-issn-1517-7491,CAND-001249;CAND-022897,openalex_confirms_same
open medicine,de gruyter open,j-disc-issn-2391-5463;j-disc-issn-1895-1058,CAND-001497;CAND-022908,openalex_confirms_same
clinical and experimental hypertension,informa,j-disc-issn-1064-1963;j-disc-issn-0148-3927,CAND-001520;CAND-022891,openalex_confirms_same
american journal of islam and society,international institute of islamic thought,j-disc-issn-2690-3733;j-disc-issn-0887-7653,CAND-001556;CAND-022905,openalex_confirms_same
hydrology research,iwa publishing,j-disc-issn-1998-9563;j-disc-issn-0029-1277,CAND-001689;CAND-022914,openalex_confirms_same
open life sciences,de gruyter open,j-disc-issn-2391-5412;j-disc-issn-1895-104X,CAND-001749;CAND-022915,openalex_confirms_same
open mathematics,de gruyter open,j-disc-issn-2391-5455;j-disc-issn-1644-3616,CAND-001763;CAND-022913,openalex_confirms_same
the anatolian journal of cardiology,kare publishing,j-disc-issn-2149-2263;j-disc-issn-1302-8723,CAND-001804;CAND-022900,openalex_confirms_same
comptes rendus mécanique,elsevier bv,j-disc-issn-1873-7234;j-disc-issn-1631-0721,CAND-001874;CAND-020176,openalex_confirms_same
international journal of technology,university of indonesia,j-disc-issn-2087-2100;j-disc-issn-2086-9614,CAND-001999;CAND-020937,openalex_confirms_same
communications - scientific letters of the university of zilina,university of zulia,j-disc-issn-2585-7878;j-disc-issn-1335-4205,CAND-002014;CAND-020975,openalex_confirms_same
communication & society,university of navarre,j-disc-issn-2386-7876;j-disc-issn-0214-0039,CAND-002210;CAND-022910,openalex_confirms_same
american journal of alzheimer s disease & other dementias®,sage publishing,j-disc-issn-1533-3175;j-disc-issn-0888-4897,CAND-002244;CAND-022911,openalex_confirms_same
juntendo medical journal,the juntendo medical society,j-disc-issn-2187-9737;j-disc-issn-2759-7504,CAND-002348;CAND-022373,openalex_confirms_same
nordic journal of nursing research,sage publishing,j-disc-issn-2057-1585;j-disc-issn-0107-4083,CAND-002359;CAND-022928,openalex_confirms_same
open geosciences,de gruyter open,j-disc-issn-2391-5447;j-disc-issn-1896-1517,CAND-002650;CAND-022935,openalex_confirms_same
revista univap,university do vale do paraíba,j-disc-issn-2237-1753;j-disc-issn-1517-3275,CAND-002774;CAND-020944,openalex_confirms_same
online learning,online learning consortium,j-disc-issn-2472-5730;j-disc-issn-1092-8235,CAND-002825;CAND-022939,openalex_confirms_same
technological and economic development of economy,vilnius gediminas technical university,j-disc-issn-2029-4913;j-disc-issn-1392-8619,CAND-002855;CAND-022942,openalex_confirms_same
revista de estudios e investigación en psicología y educación,university of a coruña,j-disc-issn-2386-7418;j-disc-issn-1138-1663,CAND-002903;CAND-022944,openalex_confirms_same
open engineering,de gruyter,j-disc-issn-2391-5439;j-disc-issn-2081-9927,CAND-002991;CAND-022945,manual_review
korean journal of medical education,korean society of medical education,j-disc-issn-2005-727X;j-disc-issn-1225-8067,CAND-003074;CAND-022947,openalex_confirms_same
public health genomics,karger publishers,j-disc-issn-1662-4246;j-disc-issn-1422-2795,CAND-003132;CAND-022946,openalex_confirms_same
vavilov journal of genetics and breeding,institute of cytology and genetics,j-disc-issn-2500-0462;j-disc-issn-1814-554X,CAND-003184;CAND-022933,openalex_confirms_same
cadernos brasileiros de terapia ocupacional,universidade federal de são carlos,j-disc-issn-2526-8910;j-disc-issn-0104-4931,CAND-003224;CAND-022929,openalex_confirms_same
renewable agriculture and food systems,cambridge university press,j-disc-issn-1742-1705;j-disc-issn-0889-1893,CAND-003441;CAND-022919,openalex_confirms_same
international journal of sustainable energy,taylor & francis,j-disc-issn-1478-6451;j-disc-issn-0142-5919,CAND-003503;CAND-022932,openalex_confirms_same
chinese journal of population resources and environment,elsevier bv,j-disc-issn-2096-9589;j-disc-issn-1004-2857,CAND-003674;CAND-022895,openalex_confirms_same
ge portuguese journal of gastroenterology,karger publishers,j-disc-issn-2341-4545;j-disc-issn-0872-8178,CAND-003684;CAND-022954,openalex_confirms_same
farmacéuticos comunitarios,sefac,j-disc-issn-2173-9218;j-disc-issn-1885-8619,CAND-003701;CAND-020780,openalex_confirms_same
journal of electromagnetic engineering and science,the korean institute of electromagnetic engineering and science,j-disc-issn-2234-8395;j-disc-issn-2671-7255,CAND-004264;CAND-007524,manual_review
journal of pathology and translational medicine,korean society of pathologists & the korean society for cytopathology,j-disc-issn-2383-7837;j-disc-issn-1738-1843,CAND-004391;CAND-022934,openalex_confirms_same
inflammation and regeneration,biomed central,j-disc-issn-1880-8190;j-disc-issn-1346-8022,CAND-004460;CAND-022961,openalex_confirms_same
saúde (santa maria),universidade federal de santa maria,j-disc-issn-2236-5834;j-disc-issn-0103-4499,CAND-004511;CAND-021051,openalex_confirms_same
neobiota,pensoft publishers,j-disc-issn-1314-2488;j-disc-issn-1619-0033,CAND-004546;CAND-021054,openalex_confirms_same
education in the knowledge society (eks),ediciones universidad de salamanca,j-disc-issn-2444-8729;j-disc-issn-1138-9737,CAND-004593;CAND-020907,openalex_confirms_same
clinical diabetology,via medica,j-disc-issn-2450-7458;j-disc-issn-2299-2529,CAND-004646;CAND-022978,openalex_confirms_same
biogeographia – the journal of integrative biogeography,"escholarship publishing, university of california",j-disc-issn-1594-7629;j-disc-issn-2475-5257,CAND-004735;CAND-016225,openalex_confirms_same
educación física y deporte,universidad de antioquia,j-disc-issn-2145-5880;j-disc-issn-0120-677X,CAND-004858;CAND-020578,openalex_confirms_same
cahiers de narratologie,laboratoire interdisciplinaire récits cultures et sociétés,j-disc-issn-1765-307X;j-disc-issn-0993-8516,CAND-005084;CAND-020942,openalex_confirms_same
annals of child neurology,annals of child neurology,j-disc-issn-2635-909X;j-disc-issn-1226-6884,CAND-005273;CAND-022972,openalex_confirms_same
ankara medical journal,yıldırım beyazıt university,j-disc-issn-2148-4570;j-disc-issn-1303-2283,CAND-005338;CAND-020982,openalex_confirms_same
philippine journal of otolaryngology head and neck surgery,"philippine society of otolaryngology-head and neck surgery, inc.",j-disc-issn-2094-1501;j-disc-issn-1908-4889,CAND-005441;CAND-019221,openalex_confirms_same
journal of applied biomaterials & functional materials,sage publishing,j-disc-issn-2280-8000;j-disc-issn-1722-6899,CAND-005838;CAND-022987,openalex_confirms_same
mimbar hukum - fakultas hukum universitas gadjah mada,gadjah mada university,j-disc-issn-2443-0994;j-disc-issn-0852-100X,CAND-005995;CAND-020920,openalex_confirms_same
ecosystem health and sustainability,taylor & francis,j-disc-issn-2332-8878;j-disc-issn-2096-4129,CAND-006038;CAND-021029,openalex_confirms_same
physical education of students,h.s. skovoroda kharkov national pedagogical university,j-disc-issn-2308-7250;j-disc-issn-2075-5279,CAND-006067;CAND-022991,openalex_confirms_same
journal of physical education,universidade estadual de maringá,j-disc-issn-2448-2455;j-disc-issn-0103-3948,CAND-006218;CAND-006969,openalex_confirms_same
