Consortium of Swiss Academic Libraries,,
Frontiers: Title list for Open Access publishing,,
This title list reflects journal titles which allow Open Access publishing in the framework of the Consortium agreement.,,
Relevant date for article eligibility: acceptance date 01.01.2026-31.12.2026,,
Article quota: depending on institution's chosen model,,
See also second tab of this list for the Society Journals,,
Last update: 23.02.2026/AKO,,
,,
Frontiers and Hosted Journals (last updated by Frontiers in January 2025),,
Journals | Frontiers (frontiersin.org),,
"As of December 2024, Frontiers has changed the price list currency from USD to CHF. Our institutional partners will see the APC price in CHF in the dashboard until an article is accepted. An accepted and approved article will be invoiced in the preferred currency. ",,
,,
Journal,ISSN,URL
Advanced Optical Technologies,2192-8584,https://www.frontiersin.org/journals/advanced-optical-technologies
Frontiers in Acoustics,2813-8082,https://www.frontiersin.org/journals/acoustics
Frontiers in Adolescent Medicine,2813-8589,https://www.frontiersin.org/journals/adolescent-medicine
Frontiers in Aerospace Engineering,2813-2831,https://www.frontiersin.org/journals/aerospace-engineering
Frontiers in Aging,2673-6217,https://www.frontiersin.org/journals/aging
Frontiers in Aging Neuroscience,1663-4365,https://www.frontiersin.org/journals/aging-neuroscience
Frontiers in Agronomy,2673-3218,https://www.frontiersin.org/journals/agronomy
Frontiers in Allergy,2673-6101,https://www.frontiersin.org/journals/allergy
Frontiers in Amphibian and Reptile Science,2813-6780,https://www.frontiersin.org/journals/amphibian-and-reptile-science
Frontiers in Analytical Science,2673-9283,https://www.frontiersin.org/journals/analytical-science
Frontiers in Anesthesiology,2813-480X,https://www.frontiersin.org/journals/anesthesiology
Frontiers in Animal Science,2673-6225,https://www.frontiersin.org/journals/animal-science
Frontiers in Antennas and Propagation,2813-4680,https://www.frontiersin.org/journals/antennas-and-propagation
Frontiers in Antibiotics,2813-2467,https://www.frontiersin.org/journals/antibiotics
Frontiers in Applied Mathematics and Statistics,2297-4687,https://www.frontiersin.org/journals/applied-mathematics-and-statistics
Frontiers in Aquaculture,2813-5334,https://www.frontiersin.org/journals/aquaculture
Frontiers in Arachnid Science,2813-5083,https://www.frontiersin.org/journals/arachnid-science
Frontiers in Artificial Intelligence,2624-8212,https://www.frontiersin.org/journals/artificial-intelligence
Frontiers in Astronomy and Space Sciences,2296-987X,https://www.frontiersin.org/journals/astronomy-and-space-sciences
Frontiers in Audiology and Otology,2813-6055,https://www.frontiersin.org/journals/audiology-and-otology
Frontiers in Bacteriology,2813-6144,https://www.frontiersin.org/journals/bacteriology
Frontiers in Batteries and Electrochemistry,2813-4974,https://www.frontiersin.org/journals/batteries-and-electrochemistry
Frontiers in Bee Science,2813-5911,https://www.frontiersin.org/journals/bee-science
Frontiers in Behavioral Economics,2813-5296,https://www.frontiersin.org/journals/behavioral-economics
Frontiers in Behavioral Neuroscience,1662-5153,https://www.frontiersin.org/journals/behavioral-neuroscience
Frontiers in Big Data,2624-909X,https://www.frontiersin.org/journals/big-data
Frontiers in Bioengineering and Biotechnology,2296-4185,https://www.frontiersin.org/journals/bioengineering-and-biotechnology
Frontiers in Bioinformatics,2673-7647,https://www.frontiersin.org/journals/bioinformatics
Frontiers in Biomaterials Science,2813-3749,https://www.frontiersin.org/journals/biomaterials-science
Frontiers in Biophysics,2813-7183,https://www.frontiersin.org/journals/biophysics
